Core,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
M0M23,,M031FB0AE,0.55,0.42,0.35,0.32,0.31,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031FC1AE,0.63,0.48,0.40,0.36,0.35,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KG6AE,2.70,2.07,1.73,1.57,1.51,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KG8AE,3.38,2.59,2.16,1.96,1.89,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031KIAAE,4.05,3.11,2.59,2.35,2.27,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LC2AE,0.85,0.65,0.54,0.49,0.48,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LD2AE,0.90,0.69,0.58,0.52,0.50,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LE3AE,1.20,0.92,0.77,0.70,0.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LG6AE,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031LG8AE,2.98,2.28,1.90,1.73,1.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SC2AE,1.33,1.02,0.85,0.77,0.74,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SD2AE,1.58,1.21,1.01,0.91,0.88,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SE3AE,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SG6AE,2.43,1.86,1.55,1.41,1.36,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SG8AE,3.23,2.48,2.06,1.87,1.81,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031SIAAE,3.53,2.71,2.26,2.04,1.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TB0AE,0.65,0.50,0.42,0.38,0.36,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TC1AE,0.73,0.56,0.46,0.42,0.41,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031TD2AE,0.88,0.67,0.56,0.51,0.49,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032EC1AE,0.75,0.58,0.48,0.44,0.42,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032FC1AE,0.68,0.52,0.43,0.39,0.38,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032KG6AE,2.98,2.28,1.90,1.73,1.67,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032KG8AE,3.53,2.71,2.26,2.04,1.97,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LD2AE,0.95,0.73,0.61,0.55,0.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M032LE3AE,1.25,0.96,0.80,0.73,0.70,,76.80%,64.00%,58.00%,56.00%,0.00%
